Minute,Predicted,Actual,Error,Pct_Error
60,1564992.9375,1565494,-501.0625,0.032006670099023055
61,1565693.1875,1565494,199.1875,0.012723619509241174
62,1565625.1875,1565797,-171.8125,0.010972846416234033
63,1570970.0625,1565850,5120.0625,0.326982948558291
64,1593231.0,1593697,-466.0,0.029240188065861955
65,1593597.75,1593898,-300.25,0.01883746638743508
66,1593908.3125,1594057,-148.6875,0.009327615010002779
67,1594338.0625,1594057,281.0625,0.017631897730131355
68,1593826.3125,1594138,-311.6875,0.019552102766510805
69,1602779.125,1602852,-72.875,0.004546583215418516
70,1602962.3125,1603000,-37.6875,0.002351060511540861
71,1603240.6875,1603032,208.6875,0.013018299073256181
72,1603348.6875,1603032,316.6875,0.01975553201682811
73,1604241.8125,1603032,1209.8125,0.07547026509763997
74,1651443.1875,1651851,-407.8125,0.02468821340423561
75,1648796.4375,1651953,-3156.5625,0.19108064817824721
76,1650460.8125,1651953,-1492.1875,0.09032868973875165
77,1651472.4375,1651953,-480.5625,0.029090567346649693
78,1651770.875,1651953,-182.125,0.011024829398899363
79,1671270.5625,1671123,147.5625,0.008830139971743553
80,1670715.1875,1671152,-436.8125,0.02613840632090917
81,1671050.125,1671152,-101.875,0.006096094191312341
82,1671676.75,1671152,524.75,0.03140049498788859
83,1670783.625,1671152,-368.375,0.022043177400978487
84,1693150.5625,1692721,429.5625,0.025377040870881853
85,1692779.9375,1692721,58.9375,0.00348182009911852
86,1692526.8125,1692721,-194.1875,0.011471914154783925
87,1692834.25,1692721,113.25,0.006690411473597835
88,1692921.9375,1692721,200.9375,0.011870680401554656
89,1715643.6875,1715623,20.6875,0.001205830185302948
90,1715332.25,1715623,-290.75,0.01694719644117618
91,1715574.8125,1715623,-48.1875,0.0028087464437117015
92,1715862.125,1715623,239.125,0.013938085465163385
93,1715312.4375,1715623,-310.5625,0.018102024745529757
94,1758403.125,1758117,286.125,0.016274514153494905
95,1758506.125,1758117,389.125,0.022133054853573454
96,1758509.25,1758117,392.25,0.02231080184083312
97,1760990.25,1758117,2873.25,0.16342768996602614
98,1763286.5625,1758117,5169.5625,0.294039731144173
99,1777491.1875,1777403,88.1875,0.004961592840790749
100,1776883.25,1777403,-519.75,0.029242102100649092
101,1777458.0625,1777403,55.0625,0.0030979187049869953
102,1778206.4375,1777403,803.4375,0.04520288870897596
103,1777490.125,1777403,87.125,0.0049018146137932705
104,1800539.125,1800699,-159.875,0.008878496628253806
105,1792863.875,1800699,-7835.125,0.4351157522717567
106,1800077.25,1800699,-621.75,0.03452825819306836
107,1799061.25,1800699,-1637.75,0.09095079188692835
108,1800356.1875,1800699,-342.8125,0.019037745897565333
109,1804098.25,1803962,136.25,0.007552819848755129
110,1804174.625,1803962,212.625,0.011786556479571077
111,1804927.9375,1803962,965.9375,0.05354533521216079
112,1807090.75,1803962,3128.75,0.17343768882049623
113,1804378.0625,1803962,416.0625,0.02306381730879032
114,1852536.4375,1852685,-148.5625,0.008018767356566281
115,1852518.0625,1852685,-166.9375,0.009010571144042296
116,1852463.125,1852685,-221.875,0.01197586205965936
117,1852434.25,1852685,-250.75,0.013534410868550239
118,1853129.375,1852685,444.375,0.023985458942021982
119,1907791.625,1908069,-277.375,0.014536948087307116
120,1891028.1875,1908149,-17120.8125,0.8972471489385786
121,1907853.6875,1908149,-295.3125,0.015476385753942695
122,1908593.5,1908149,444.5,0.023294826557045598
123,1907699.8125,1908149,-449.1875,0.023540483473774847
124,1965562.5625,1965654,-91.4375,0.004651759668792168
125,1964980.25,1965654,-673.75,0.03427612387531071
126,1966149.875,1965654,495.875,0.025226972803962446
127,1966120.25,1965654,466.25,0.02371984082651372
128,1965620.0,1965654,-34.0,0.00172970421040529
129,2015084.75,2014827,257.75,0.012792661603204641
130,2013933.6875,2014827,-893.3125,0.04433693314612123
131,2010357.75,2014827,-4469.25,0.22181805187244363
132,2015019.375,2014827,192.375,0.009547966152925288
133,2015429.5625,2014827,602.5625,0.02990641380128418
134,2074712.25,2074949,-236.75,0.011409918990780015
135,2075226.6875,2074949,277.6875,0.013382859048583846
136,2074986.0625,2074949,37.0625,0.0017861884798132388
137,2074845.4375,2074949,-103.5625,0.004991086527909843
138,2074726.5,2074949,-222.5,0.010723155123330741
139,2083887.5625,2086777,-2889.4375,0.13846412434102925
140,2108294.8125,2108368,-73.1875,0.0034712867962329156
141,2104425.1875,2108368,-3942.8125,0.18700779465444364
142,2108986.6875,2108368,618.6875,0.029344379159615398
143,2110367.8125,2108368,1999.8125,0.09485120718963672
144,2153493.25,2154138,-644.75,0.0299307658098042
145,2142622.4375,2154138,-11515.5625,0.5345786806601991
146,2154255.6875,2154138,117.6875,0.0054633222198392116
147,2153025.4375,2154138,-1112.5625,0.05164768923810823
148,2152418.6875,2154138,-1719.3125,0.07981440836195267
149,2166901.125,2179216,-12314.875,0.565105753628828
150,2180075.9375,2179216,859.9375,0.03946086574254227
151,2179412.625,2179216,196.625,0.009022740288250453
152,2178510.0625,2179216,-705.9375,0.03239410411817828
153,2179292.5625,2179216,76.5625,0.0035133047848400524
154,2180112.5625,2179216,896.5625,0.04114151603145351
155,2209482.9375,2213285,-3802.0625,0.1717836835292337
156,2212575.4375,2213285,-709.5625,0.03205924677572025
157,2213081.875,2213285,-203.125,0.009177534750382351
158,2212989.75,2213285,-295.25,0.01333989974178653
159,2213630.125,2213285,345.125,0.01559333750511118
160,2235971.9375,2235861,110.9375,0.004961735098917151
161,2235246.3125,2235861,-614.6875,0.027492205463577564
162,2235293.375,2235861,-567.625,0.025387311644149615
163,2236355.3125,2235861,494.3125,0.022108373463287742
164,2236021.5625,2235861,160.5625,0.007181238010770794
165,2274227.25,2273902,325.25,0.014303606751742158
166,2273757.5,2273902,-144.5,0.006354715374717115
167,2274041.1875,2273902,139.1875,0.006121086132999575
