Growth_1,Growth_2,Growth_3,Growth_4,Growth_5,Growth_6,Growth_7,Growth_8,Growth_9,Growth_10,Growth_11,Growth_12,Growth_13,Growth_14,Growth_15,Growth_16,Growth_17,Growth_18,Growth_19,Growth_20,Growth_21,Growth_22,Growth_23,Growth_24,Growth_25,Growth_26,Growth_27,Growth_28,Growth_29,Growth_30,Growth_31,Growth_32,Growth_33,Growth_34,Growth_35,Growth_36,Growth_37,Growth_38,Growth_39,Growth_40,Growth_41,Growth_42,Growth_43,Growth_44,Growth_45,Growth_46,Growth_47,Growth_48,Growth_49,Growth_50,Growth_51,Growth_52,Growth_53,Growth_54,Growth_55,Growth_56,Growth_57,Growth_58,Growth_59,Growth_60,Growth_61,Growth_62,Growth_63,Growth_64,Growth_65,Growth_66,Growth_67,Growth_68,Growth_69,Growth_70,Growth_71,Growth_72,Growth_73,Growth_74,Growth_75,Growth_76,Growth_77,Growth_78,Growth_79,Growth_80,Growth_81,Growth_82,Growth_83,Growth_84,Growth_85,Growth_86,Growth_87,Growth_88,Growth_89,Growth_90,Growth_91,Growth_92,Growth_93,Growth_94,Growth_95,Growth_96,Growth_97,Growth_98,Growth_99,Growth_100,Growth_101,Growth_102,Growth_103,Growth_104,Growth_105,Growth_106,Growth_107,Growth_108,Growth_109,Growth_110,Growth_111,Growth_112,Growth_113,Growth_114,Growth_115,Growth_116,Growth_117,Growth_118,Growth_119,Growth_120,Current_Views,Target_Gain
5490,803,506,1450,164,4938,1011,724,364,938,20592,862,800,1014,485,23827,796,1218,672,573,17839,793,968,722,445,16201,735,1028,815,1133,20231,0,1308,917,755,584,13639,1162,976,1138,994,1539,1124,977,1033,1137,0,22559,1575,300,1234,1018,17938,915,924,1282,1332,32193,1197,1067,498,1266,19481,1799,1086,1417,295,24339,1327,1190,1183,952,8191,994,1225,1207,1144,24494,630,1427,1324,1445,14186,758,1599,1141,1330,18413,1471,725,1401,1149,7379,1039,967,1357,1185,10488,888,1339,1220,1271,8072,1284,1071,932,1138,20755,1312,768,885,995,13330,1152,1087,777,736,24991,1158,1023,1252689,655460
803,506,1450,164,4938,1011,724,364,938,20592,862,800,1014,485,23827,796,1218,672,573,17839,793,968,722,445,16201,735,1028,815,1133,20231,0,1308,917,755,584,13639,1162,976,1138,994,1539,1124,977,1033,1137,0,22559,1575,300,1234,1018,17938,915,924,1282,1332,32193,1197,1067,498,1266,19481,1799,1086,1417,295,24339,1327,1190,1183,952,8191,994,1225,1207,1144,24494,630,1427,1324,1445,14186,758,1599,1141,1330,18413,1471,725,1401,1149,7379,1039,967,1357,1185,10488,888,1339,1220,1271,8072,1284,1071,932,1138,20755,1312,768,885,995,13330,1152,1087,777,736,24991,1158,1023,1109,1253798,654351
506,1450,164,4938,1011,724,364,938,20592,862,800,1014,485,23827,796,1218,672,573,17839,793,968,722,445,16201,735,1028,815,1133,20231,0,1308,917,755,584,13639,1162,976,1138,994,1539,1124,977,1033,1137,0,22559,1575,300,1234,1018,17938,915,924,1282,1332,32193,1197,1067,498,1266,19481,1799,1086,1417,295,24339,1327,1190,1183,952,8191,994,1225,1207,1144,24494,630,1427,1324,1445,14186,758,1599,1141,1330,18413,1471,725,1401,1149,7379,1039,967,1357,1185,10488,888,1339,1220,1271,8072,1284,1071,932,1138,20755,1312,768,885,995,13330,1152,1087,777,736,24991,1158,1023,1109,643,1254441,653708
1450,164,4938,1011,724,364,938,20592,862,800,1014,485,23827,796,1218,672,573,17839,793,968,722,445,16201,735,1028,815,1133,20231,0,1308,917,755,584,13639,1162,976,1138,994,1539,1124,977,1033,1137,0,22559,1575,300,1234,1018,17938,915,924,1282,1332,32193,1197,1067,498,1266,19481,1799,1086,1417,295,24339,1327,1190,1183,952,8191,994,1225,1207,1144,24494,630,1427,1324,1445,14186,758,1599,1141,1330,18413,1471,725,1401,1149,7379,1039,967,1357,1185,10488,888,1339,1220,1271,8072,1284,1071,932,1138,20755,1312,768,885,995,13330,1152,1087,777,736,24991,1158,1023,1109,643,16509,1270950,694704
164,4938,1011,724,364,938,20592,862,800,1014,485,23827,796,1218,672,573,17839,793,968,722,445,16201,735,1028,815,1133,20231,0,1308,917,755,584,13639,1162,976,1138,994,1539,1124,977,1033,1137,0,22559,1575,300,1234,1018,17938,915,924,1282,1332,32193,1197,1067,498,1266,19481,1799,1086,1417,295,24339,1327,1190,1183,952,8191,994,1225,1207,1144,24494,630,1427,1324,1445,14186,758,1599,1141,1330,18413,1471,725,1401,1149,7379,1039,967,1357,1185,10488,888,1339,1220,1271,8072,1284,1071,932,1138,20755,1312,768,885,995,13330,1152,1087,777,736,24991,1158,1023,1109,643,16509,1576,1272526,693128
4938,1011,724,364,938,20592,862,800,1014,485,23827,796,1218,672,573,17839,793,968,722,445,16201,735,1028,815,1133,20231,0,1308,917,755,584,13639,1162,976,1138,994,1539,1124,977,1033,1137,0,22559,1575,300,1234,1018,17938,915,924,1282,1332,32193,1197,1067,498,1266,19481,1799,1086,1417,295,24339,1327,1190,1183,952,8191,994,1225,1207,1144,24494,630,1427,1324,1445,14186,758,1599,1141,1330,18413,1471,725,1401,1149,7379,1039,967,1357,1185,10488,888,1339,1220,1271,8072,1284,1071,932,1138,20755,1312,768,885,995,13330,1152,1087,777,736,24991,1158,1023,1109,643,16509,1576,1242,1273768,691886
1011,724,364,938,20592,862,800,1014,485,23827,796,1218,672,573,17839,793,968,722,445,16201,735,1028,815,1133,20231,0,1308,917,755,584,13639,1162,976,1138,994,1539,1124,977,1033,1137,0,22559,1575,300,1234,1018,17938,915,924,1282,1332,32193,1197,1067,498,1266,19481,1799,1086,1417,295,24339,1327,1190,1183,952,8191,994,1225,1207,1144,24494,630,1427,1324,1445,14186,758,1599,1141,1330,18413,1471,725,1401,1149,7379,1039,967,1357,1185,10488,888,1339,1220,1271,8072,1284,1071,932,1138,20755,1312,768,885,995,13330,1152,1087,777,736,24991,1158,1023,1109,643,16509,1576,1242,1075,1274843,690811
724,364,938,20592,862,800,1014,485,23827,796,1218,672,573,17839,793,968,722,445,16201,735,1028,815,1133,20231,0,1308,917,755,584,13639,1162,976,1138,994,1539,1124,977,1033,1137,0,22559,1575,300,1234,1018,17938,915,924,1282,1332,32193,1197,1067,498,1266,19481,1799,1086,1417,295,24339,1327,1190,1183,952,8191,994,1225,1207,1144,24494,630,1427,1324,1445,14186,758,1599,1141,1330,18413,1471,725,1401,1149,7379,1039,967,1357,1185,10488,888,1339,1220,1271,8072,1284,1071,932,1138,20755,1312,768,885,995,13330,1152,1087,777,736,24991,1158,1023,1109,643,16509,1576,1242,1075,585,1275428,690226
364,938,20592,862,800,1014,485,23827,796,1218,672,573,17839,793,968,722,445,16201,735,1028,815,1133,20231,0,1308,917,755,584,13639,1162,976,1138,994,1539,1124,977,1033,1137,0,22559,1575,300,1234,1018,17938,915,924,1282,1332,32193,1197,1067,498,1266,19481,1799,1086,1417,295,24339,1327,1190,1183,952,8191,994,1225,1207,1144,24494,630,1427,1324,1445,14186,758,1599,1141,1330,18413,1471,725,1401,1149,7379,1039,967,1357,1185,10488,888,1339,1220,1271,8072,1284,1071,932,1138,20755,1312,768,885,995,13330,1152,1087,777,736,24991,1158,1023,1109,643,16509,1576,1242,1075,585,15449,1290877,723950
938,20592,862,800,1014,485,23827,796,1218,672,573,17839,793,968,722,445,16201,735,1028,815,1133,20231,0,1308,917,755,584,13639,1162,976,1138,994,1539,1124,977,1033,1137,0,22559,1575,300,1234,1018,17938,915,924,1282,1332,32193,1197,1067,498,1266,19481,1799,1086,1417,295,24339,1327,1190,1183,952,8191,994,1225,1207,1144,24494,630,1427,1324,1445,14186,758,1599,1141,1330,18413,1471,725,1401,1149,7379,1039,967,1357,1185,10488,888,1339,1220,1271,8072,1284,1071,932,1138,20755,1312,768,885,995,13330,1152,1087,777,736,24991,1158,1023,1109,643,16509,1576,1242,1075,585,15449,1000,1291877,722950
